text,font_size,font_color_red,font_color_green,font_color_blue,font_color_alpha,font_weight,output
Isolation forest,16,51,102,204,1,400,1
Artificial neural network,16,51,102,204,1,400,1
Autoencoder,16,51,102,204,1,400,1
Cognitive computing,16,51,102,204,1,400,1
Deep learning,16,51,102,204,1,400,1
DeepDream,16,51,102,204,1,400,1
Multilayer perceptron,16,51,102,204,1,400,1
reservoir computing,16,51,102,204,1,400,1
Restricted Boltzmann machine,16,51,102,204,1,400,1
Convolutional neural network,16,51,102,204,1,400,1
U-Net,16,51,102,204,1,400,1
Transformer,16,51,102,204,1,400,1
Vision,16,51,102,204,1,400,1
Spiking neural network,16,51,102,204,1,400,1
Memtransistor,16,51,102,204,1,400,1
(ECRAM),16,32,33,34,1,400,1
Electrochemical RAM,16,51,102,204,1,400,1
Reinforcement learning,16,51,102,204,1,400,1
Q-learning,16,51,102,204,1,400,1
SARSA,16,51,102,204,1,400,1
Temporal difference (TD),16,51,102,204,1,400,1
Multi-agent,16,51,102,204,1,400,1
Self-play,16,51,102,204,1,400,1
Learning with humans,12.936,32,33,34,1,700,1
Active learning,16,51,102,204,1,400,1
Crowdsourcing,16,51,102,204,1,400,1
Human-in-the-loop,16,51,102,204,1,400,1
Model diagnostics,12.936,32,33,34,1,700,1
Learning curve,16,51,102,204,1,400,1
Theory,12.936,32,33,34,1,700,1
Kernel machines,12.32,51,102,204,1,400,1
Computational learning theory,16,51,102,204,1,400,1
Empirical risk minimization,16,51,102,204,1,400,1
Occam learning,16,51,102,204,1,400,1
PAC learning,16,51,102,204,1,400,1
Statistical learning,16,51,102,204,1,400,1
VC theory,16,51,102,204,1,400,1
Machine-learning venues,12.936,32,33,34,1,700,1
NeurIPS,16,51,102,204,1,400,1
Related articles,12.936,32,33,34,1,700,1
Glossary of artificial intelligence,16,51,102,204,1,400,1
List of datasets for machine-learning research,16,51,102,204,1,400,1
Outline of machine learning,16,51,102,204,1,400,1
Part of a series on,12.32,32,33,34,1,400,1
Artificial intelligence,16,51,102,204,1,400,1
Major goals,16,51,102,204,1,400,1
Artificial general intelligence,16,51,102,204,1,400,1
Planning,16,51,102,204,1,400,1
Computer vision,16,51,102,204,1,400,1
General game playing,16,51,102,204,1,400,1
Knowledge reasoning,16,51,102,204,1,400,1
Machine learning,17.864,32,33,34,1,700,1
Natural language processing,16,51,102,204,1,400,1
Robotics,16,51,102,204,1,400,1
AI safety,16,51,102,204,1,400,1
Approaches,12.936,32,33,34,1,700,1
Symbolic,16,51,102,204,1,400,1
Deep learning,16,51,102,204,1,400,1
Bayesian networks,16,51,102,204,1,400,1
Evolutionary algorithms,16,51,102,204,1,400,1
Situated approach,16,51,102,204,1,400,1
Systems integration,16,51,102,204,1,400,1
Philosophy,16,51,102,204,1,400,1
Chinese room,16,51,102,204,1,400,1
Friendly AI,16,51,102,204,1,400,1
Control problem,12.32,51,102,204,1,400,1
Takeover,16,51,102,204,1,400,1
Ethics,16,51,102,204,1,400,1
Existential risk,16,51,102,204,1,400,1
Turing test,16,51,102,204,1,400,1
History,16,51,102,204,1,400,1
Timeline,16,51,102,204,1,400,1
Progress,16,51,102,204,1,400,1
AI winter,16,51,102,204,1,400,1
Technology,12.936,32,33,34,1,700,1
Applications,16,51,102,204,1,400,1
Projects,16,51,102,204,1,400,1
Programming languages,16,51,102,204,1,400,1
Glossary,12.936,32,33,34,1,700,1
Glossary,16,51,102,204,1,400,1
Machine learning,10.9956,32,33,34,1,700,1
artificial intelligence,16,51,102,204,1,400,1
"Machine learning algorithms build a model based on sample data, known as , in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, , , , and , where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.",14,32,33,34,1,400,1
training data,12.32,51,102,204,1,400,1
email filtering,16,51,102,204,1,400,1
speech recognition,16,51,102,204,1,400,1
agriculture,16,51,102,204,1,400,1
computer vision,16,51,102,204,1,400,1
"A subset of machine learning is closely related to , which focuses on making predictions using computers, but not all machine learning is statistical learning. The study of delivers methods, theory and application domains to the field of machine learning. is a related field of study, focusing on through .",14,32,33,34,1,400,1
computational statistics,16,51,102,204,1,400,1
mathematical optimization,16,51,102,204,1,400,1
Data mining,16,51,102,204,1,400,1
exploratory data analysis,16,51,102,204,1,400,1
unsupervised learning,16,51,102,204,1,400,1
Some implementations of machine learning use data and in a way that mimics the working of a .,14,32,33,34,1,400,1
neural networks,12.32,51,102,204,1,400,1
biological brain,16,51,102,204,1,400,1
"In its application across business problems, machine learning is also referred to as .",14,32,33,34,1,400,1
predictive analytics,16,51,102,204,1,400,1
Overview,21,0,0,0,1,400,1
families,16,51,102,204,1,400,1
black swans,16,51,102,204,1,400,1
"Machine learning programs can perform tasks without being explicitly programmed to do so. It involves computers learning from data provided so that they carry out certain tasks. For simple tasks assigned to computers, it is possible to program algorithms telling the machine how to execute all steps required to solve the problem at hand; on the computer's part, no learning is needed. For more advanced tasks, it can be challenging for a human to manually create the needed algorithms. In practice, it can turn out to be more effective to help the machine develop its own algorithm, rather than having human programmers specify every needed step.",14,32,33,34,1,400,1
"The discipline of machine learning employs various approaches to teach computers to accomplish tasks where no fully satisfactory algorithm is available. In cases where vast numbers of potential answers exist, one approach is to label some of the correct answers as valid. This can then be used as training data for the computer to improve the algorithm(s) it uses to determine correct answers. For example, to train a system for the task of digital character recognition, the dataset of handwritten digits has often been used.",14,32,33,34,1,400,1
MNIST,16,51,102,204,1,400,1
History and relationships to other fields,21,0,0,0,1,400,1
See also:,14,32,33,34,1,400,1
Timeline of machine learning,16,51,102,204,1,400,1
machine learning,14,51,102,204,1,400,1
Arthur Samuel,16,51,102,204,1,400,1
computer gaming,12.32,51,102,204,1,400,1
artificial intelligence,16,51,102,204,1,400,1
self-teaching computers,14,51,102,204,1,400,1
punched tape,16,51,102,204,1,400,1
Raytheon Company,16,51,102,204,1,400,1
reinforcement learning,16,51,102,204,1,400,1
neural network,16,51,102,204,1,400,1
"provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience with respect to some class of tasks and performance measure if its performance at tasks in , as measured by ,  improves with experience ."" This definition of the tasks in which machine learning is concerned offers a fundamentally rather than defining the field in cognitive terms. This follows 's proposal in his paper "" "", in which the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".",14,32,33,34,1,400,1
Tom M. Mitchell,16,51,102,204,1,400,1
operational definition,16,51,102,204,1,400,1
Alan Turing,16,51,102,204,1,400,1
Computing Machinery and Intelligence,16,51,102,204,1,400,1
"Modern-day machine learning has two objectives, one is to classify data based on models which have been developed, the other purpose is to make predictions for future outcomes based on these models. A hypothetical algorithm specific to classifying data may use computer vision of moles coupled with supervised learning in order to train it to classify the cancerous moles. A machine learning algorithm for stock trading may inform the trader of future potential predictions.",14,32,33,34,1,400,1
Artificial intelligence,21,0,0,0,1,400,1
Machine learning as subfield of AI,12.3704,32,33,34,1,400,1
"As a scientific endeavor, machine learning grew out of the quest for . In the early days of AI as an , some researchers were interested in having machines learn from data. They attempted to approach the problem with various symbolic methods, as well as what was then termed "" ""; these were mostly and that were later found to be reinventions of the of statistics.  was also employed, especially in .",14,32,33,34,1,400,1
artificial intelligence,16,51,102,204,1,400,1
academic discipline,12.32,51,102,204,1,400,1
neural networks,16,51,102,204,1,400,1
perceptrons,16,51,102,204,1,400,1
other models,16,51,102,204,1,400,1
generalized linear models,16,51,102,204,1,400,1
Probabilistic reasoning,12.32,51,102,204,1,400,1
automated medical diagnosis,12.32,51,102,204,1,400,1
"logical, knowledge-based approach",16,51,102,204,1,400,1
expert systems,16,51,102,204,1,400,1
inductive logic programming,16,51,102,204,1,400,1
pattern recognition,16,51,102,204,1,400,1
information retrieval,16,51,102,204,1,400,1
computer science,16,51,102,204,1,400,1
connectionism,16,51,102,204,1,400,1
Hopfield,16,51,102,204,1,400,1
Rumelhart,16,51,102,204,1,400,1
Hinton,12.32,51,102,204,1,400,1
backpropagation,16,51,102,204,1,400,1
symbolic approaches,16,51,102,204,1,400,1
fuzzy logic,16,51,102,204,1,400,1
probability theory,16,51,102,204,1,400,1
Data mining,21,0,0,0,1,400,1
"Machine learning and often employ the same methods and overlap significantly, but while machine learning focuses on prediction, based on properties learned from the training data, focuses on the of (previously) properties in the data (this is the analysis step of in databases). Data mining uses many machine learning methods, but with different goals; on the other hand, machine learning also employs data mining methods as "" "" or as a preprocessing step to improve learner accuracy. Much of the confusion between these two research communities (which do often have separate conferences and separate journals, being a major exception) comes from the basic assumptions they work with: in machine learning, performance is usually evaluated with respect to the ability to knowledge, while in knowledge discovery and data mining (KDD) the key task is the discovery of previously knowledge. Evaluated with respect to known knowledge, an uninformed (unsupervised) method will easily be outperformed by other supervised methods, while in a typical KDD task, supervised methods cannot be used due to the unavailability of training data.",14,32,33,34,1,400,1
data mining,16,51,102,204,1,400,1
known,14,51,102,204,1,400,1
data mining,16,51,102,204,1,400,1
discovery,16,51,102,204,1,400,1
unknown,14,51,102,204,1,400,1
knowledge discovery,12.32,51,102,204,1,400,1
unsupervised learning,16,51,102,204,1,400,1
ECML PKDD,16,51,102,204,1,400,1
reproduce known,14,51,102,204,1,400,1
unknown,14,51,102,204,1,400,1
Optimization,21,0,0,0,1,400,1
"Machine learning also has intimate ties to : many learning problems are formulated as minimization of some on a training set of examples. Loss functions express the discrepancy between the predictions of the model being trained and the actual problem instances (for example, in classification, one wants to assign a label to instances, and models are trained to correctly predict the pre-assigned labels of a set of examples).",14,32,33,34,1,400,1
optimization,16,51,102,204,1,400,1
loss function,16,51,102,204,1,400,1
Generalization,21,0,0,0,1,400,1
"The difference between optimization and machine learning arises from the goal of : while optimization algorithms can minimize the loss on a training set, machine learning is concerned with minimizing the loss on unseen samples. Characterizing the generalization of various learning algorithms is an active topic of current research, especially for algorithms.",14,32,33,34,1,400,1
generalization,16,51,102,204,1,400,1
deep learning,16,51,102,204,1,400,1
Statistics,21,0,0,0,1,400,1
"Machine learning and are closely related fields in terms of methods, but distinct in their principal goal: statistics draws population from a , while machine learning finds generalizable predictive patterns. According to , the ideas of machine learning, from methodological principles to theoretical tools, have had a long pre-history in statistics. He also suggested the term as a placeholder to call the overall field.",14,32,33,34,1,400,1
statistics,16,51,102,204,1,400,1
inferences,16,51,102,204,1,400,1
sample,12.32,51,102,204,1,400,1
Michael I. Jordan,16,51,102,204,1,400,1
data science,16,51,102,204,1,400,1
"distinguished two statistical modeling paradigms: data model and algorithmic model, wherein ""algorithmic model"" means more or less the machine learning algorithms like .",14,32,33,34,1,400,1
Leo Breiman,16,51,102,204,1,400,1
Random Forest,16,51,102,204,1,400,1
"Some statisticians have adopted methods from machine learning, leading to a combined field that they call .",14,32,33,34,1,400,1
statistical learning,14,51,102,204,1,400,1
Physics,21,0,0,0,1,400,1
"Analytical and computational techniques derived from statistical physics of disordered systems, can be extended to large-scale problems, including machine learning, e.g., to analyze the weight space of deep . Statistical physics is thus finding applications in the area of .",14,32,33,34,1,400,1
neural networks,12.32,51,102,204,1,400,1
medical diagnostics,12.32,51,102,204,1,400,1
Theory,21,0,0,0,1,400,1
Main articles: and,14,32,33,34,1,400,1
Computational learning theory,16,51,102,204,1,400,1
Statistical learning theory,16,51,102,204,1,400,1
"A core objective of a learner is to generalize from its experience. Generalization in this context is the ability of a learning machine to perform accurately on new, unseen examples/tasks after having experienced a learning data set. The training examples come from some generally unknown probability distribution (considered representative of the space of occurrences) and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.",14,32,33,34,1,400,1
"The computational analysis of machine learning algorithms and their performance is a branch of known as via the (PAC) model. Because training sets are finite and the future is uncertain, learning theory usually does not yield guarantees of the performance of algorithms. Instead, probabilistic bounds on the performance are quite common. The is one way to quantify generalization .",14,32,33,34,1,400,1
theoretical computer science,16,51,102,204,1,400,1
computational learning theory,16,51,102,204,1,400,1
Probably Approximately Correct Learning,16,51,102,204,1,400,1
error,16,51,102,204,1,400,1
"For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data. If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to and generalization will be poorer.",14,32,33,34,1,400,1
overfitting,16,51,102,204,1,400,1
"In addition to performance bounds, learning theorists study the time complexity and feasibility of learning. In computational learning theory, a computation is considered feasible if it can be done in . There are two kinds of results: Positive results show that a certain class of functions can be learned in polynomial time. Negative results show that certain classes cannot be learned in polynomial time.",14,32,33,34,1,400,1
polynomial time,16,51,102,204,1,400,1
time complexity,16,51,102,204,1,400,1
Approaches,21,0,0,0,1,400,1
"Machine learning approaches are traditionally divided into three broad categories, which correspond to learning paradigms, depending on the nature of the ""signal"" or ""feedback"" available to the learning system:",14,32,33,34,1,400,1
": The computer is presented with example inputs and their desired outputs, given by a ""teacher"", and the goal is to learn a general rule that inputs to outputs.",16,32,33,34,1,400,1
Supervised learning,16,51,102,204,1,400,1
": No labels are given to the learning algorithm, leaving it on its own to find structure in its input. Unsupervised learning can be a goal in itself (discovering hidden patterns in data) or a means towards an end ( ).",16,32,33,34,1,400,1
Unsupervised learning,16,51,102,204,1,400,1
feature learning,16,51,102,204,1,400,1
": A computer program interacts with a dynamic environment in which it must perform a certain goal (such as or playing a game against an opponent). As it navigates its problem space, the program is provided feedback that's analogous to rewards, which it tries to maximize.",16,32,33,34,1,400,1
Reinforcement learning,16,51,102,204,1,400,1
driving a vehicle,12.32,51,102,204,1,400,1
Supervised learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Supervised learning,16,51,102,204,1,400,1
"A is a supervised learning model that divides the data into regions separated by a . Here, the linear boundary divides the black circles from the white.",12.3704,32,33,34,1,400,1
support-vector machine,12.32,51,102,204,1,400,1
linear boundary,16,51,102,204,1,400,1
"Supervised learning algorithms build a mathematical model of a set of data that contains both the inputs and the desired outputs. The data is known as , and consists of a set of training examples. Each training example has one or more inputs and the desired output, also known as a supervisory signal.  In the mathematical model, each training example is represented by an or vector, sometimes called a feature vector, and the training data is represented by a . Through of an , supervised learning algorithms learn a function that can be used to predict the output associated with new inputs. An optimal function will allow the algorithm to correctly determine the output for inputs that were not a part of the training data. An algorithm that improves the accuracy of its outputs or predictions over time is said to have learned to perform that task.",14,32,33,34,1,400,1
training data,12.32,51,102,204,1,400,1
array,12.32,51,102,204,1,400,1
matrix,16,51,102,204,1,400,1
iterative optimization,16,51,102,204,1,400,1
objective function,16,51,102,204,1,400,1
"Types of supervised-learning algorithms include , and . Classification algorithms are used when the outputs are restricted to a limited set of values, and regression algorithms are used when the outputs may have any numerical value within a range. As an example, for a classification algorithm that filters emails, the input would be an incoming email, and the output would be the name of the folder in which to file the email.",14,32,33,34,1,400,1
active learning,16,51,102,204,1,400,1
classification,16,51,102,204,1,400,1
regression,16,51,102,204,1,400,1
"is an area of supervised machine learning closely related to regression and classification, but the goal is to learn from examples using a similarity function that measures how similar or related two objects are. It has applications in , , visual identity tracking, face verification, and speaker verification.",14,32,33,34,1,400,1
Similarity learning,16,51,102,204,1,400,1
ranking,16,51,102,204,1,400,1
recommendation systems,16,51,102,204,1,400,1
Unsupervised learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Unsupervised learning,16,51,102,204,1,400,1
See also:,14,32,33,34,1,400,1
Cluster analysis,16,51,102,204,1,400,1
"Unsupervised learning algorithms take a set of data that contains only inputs, and find structure in the data, like grouping or clustering of data points. The algorithms, therefore, learn from test data that has not been labeled, classified or categorized. Instead of responding to feedback, unsupervised learning algorithms identify commonalities in the data and react based on the presence or absence of such commonalities in each new piece of data. A central application of unsupervised learning is in the field of in , such as finding the . Though unsupervised learning encompasses other domains involving summarizing and explaining data features.",14,32,33,34,1,400,1
density estimation,16,51,102,204,1,400,1
statistics,16,51,102,204,1,400,1
probability density function,16,51,102,204,1,400,1
"Cluster analysis is the assignment of a set of observations into subsets (called ) so that observations within the same cluster are similar according to one or more predesignated criteria, while observations drawn from different clusters are dissimilar. Different clustering techniques make different assumptions on the structure of the data, often defined by some and evaluated, for example, by , or the similarity between members of the same cluster, and , the difference between clusters. Other methods are based on and .",14,32,33,34,1,400,1
clusters,14,51,102,204,1,400,1
similarity metric,14,51,102,204,1,400,1
internal compactness,14,51,102,204,1,400,1
separation,14,51,102,204,1,400,1
estimated density,14,51,102,204,1,400,1
graph connectivity,14,51,102,204,1,400,1
Semi-supervised learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Semi-supervised learning,12.32,51,102,204,1,400,1
"Semi-supervised learning falls between (without any labeled training data) and (with completely labeled training data). Some of the training examples are missing training labels, yet many machine-learning researchers have found that unlabeled data, when used in conjunction with a small amount of labeled data, can produce a considerable improvement in learning accuracy.",14,32,33,34,1,400,1
unsupervised learning,16,51,102,204,1,400,1
supervised learning,16,51,102,204,1,400,1
"In , the training labels are noisy, limited, or imprecise; however, these labels are often cheaper to obtain, resulting in larger effective training sets.",14,32,33,34,1,400,1
weakly supervised learning,12.32,51,102,204,1,400,1
Reinforcement learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Reinforcement learning,16,51,102,204,1,400,1
"Reinforcement learning is an area of machine learning concerned with how ought to take in an environment so as to maximize some notion of cumulative reward. Due to its generality, the field is studied in many other disciplines, such as , , , , , , , and . In machine learning, the environment is typically represented as a (MDP). Many reinforcements learning algorithms use techniques. Reinforcement learning algorithms do not assume knowledge of an exact mathematical model of the MDP and are used when exact models are infeasible. Reinforcement learning algorithms are used in autonomous vehicles or in learning to play a game against a human opponent.",14,32,33,34,1,400,1
software agents,16,51,102,204,1,400,1
actions,16,51,102,204,1,400,1
game theory,16,51,102,204,1,400,1
control theory,16,51,102,204,1,400,1
operations research,16,51,102,204,1,400,1
information theory,16,51,102,204,1,400,1
simulation-based optimization,16,51,102,204,1,400,1
multi-agent systems,16,51,102,204,1,400,1
swarm intelligence,16,51,102,204,1,400,1
statistics,16,51,102,204,1,400,1
genetic algorithms,16,51,102,204,1,400,1
Markov decision process,16,51,102,204,1,400,1
dynamic programming,16,51,102,204,1,400,1
Dimensionality reduction,21,0,0,0,1,400,1
principal component analysis,16,51,102,204,1,400,1
manifold hypothesis,16,51,102,204,1,400,1
manifolds,16,51,102,204,1,400,1
manifold learning,12.32,51,102,204,1,400,1
manifold regularization,16,51,102,204,1,400,1
Other types,21,0,0,0,1,400,1
"Other approaches have been developed which don't fit neatly into this three-fold categorization, and sometimes more than one is used by the same machine learning system. For example, , .",14,32,33,34,1,400,1
topic modeling,12.32,51,102,204,1,400,1
meta-learning,16,51,102,204,1,400,1
deep learning,16,51,102,204,1,400,1
Self-learning,21,0,0,0,1,400,1
crossbar adaptive array,14,51,102,204,1,400,1
in situation perform action,16,32,33,34,1,400,1
receive consequence situation,16,32,33,34,1,400,1
compute emotion of being in consequence situation,16,32,33,34,1,400,1
v(s'),14,51,102,204,1,400,1
update crossbar memory,16,32,33,34,1,400,1
"w'(a,s) = w(a,s) + v(s')",14,51,102,204,1,400,1
"It is a system with only one input, situation, and only one output, action (or behavior) a. There is neither a separate reinforcement input nor an advice input from the environment. The backpropagated value (secondary reinforcement) is the emotion toward the consequence situation. The CAA exists in two environments, one is the behavioral environment where it behaves, and the other is the genetic environment, wherefrom it initially and only once receives initial emotions about situations to be encountered in the behavioral environment. After receiving the genome (species) vector from the genetic environment, the CAA learns a goal-seeking behavior, in an environment that contains both desirable and undesirable situations.",14,32,33,34,1,400,1
Feature learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Feature learning,16,51,102,204,1,400,1
"Several learning algorithms aim at discovering better representations of the inputs provided during training. Classic examples include and cluster analysis. Feature learning algorithms, also called representation learning algorithms, often attempt to preserve the information in their input but also transform it in a way that makes it useful, often as a pre-processing step before performing classification or predictions. This technique allows reconstruction of the inputs coming from the unknown data-generating distribution, while not being necessarily faithful to configurations that are implausible under that distribution. This replaces manual , and allows a machine to both learn the features and use them to perform a specific task.",14,32,33,34,1,400,1
principal component analysis,16,51,102,204,1,400,1
feature engineering,16,51,102,204,1,400,1
"Feature learning can be either supervised or unsupervised. In supervised feature learning, features are learned using labeled input data. Examples include , , and supervised . In unsupervised feature learning, features are learned with unlabeled input data.  Examples include dictionary learning, , , and various forms of .",14,32,33,34,1,400,1
artificial neural networks,16,51,102,204,1,400,1
multilayer perceptrons,16,51,102,204,1,400,1
dictionary learning,12.32,51,102,204,1,400,1
independent component analysis,16,51,102,204,1,400,1
autoencoders,16,51,102,204,1,400,1
matrix factorization,16,51,102,204,1,400,1
clustering,16,51,102,204,1,400,1
"algorithms attempt to do so under the constraint that the learned representation is low-dimensional. algorithms attempt to do so under the constraint that the learned representation is sparse, meaning that the mathematical model has many zeros. algorithms aim to learn low-dimensional representations directly from representations for multidimensional data, without reshaping them into higher-dimensional vectors.  algorithms discover multiple levels of representation, or a hierarchy of features, with higher-level, more abstract features defined in terms of (or generating) lower-level features. It has been argued that an intelligent machine is one that learns a representation that disentangles the underlying factors of variation that explain the observed data.",14,32,33,34,1,400,1
Manifold learning,12.32,51,102,204,1,400,1
Sparse coding,12.32,51,102,204,1,400,1
Multilinear subspace learning,16,51,102,204,1,400,1
tensor,16,51,102,204,1,400,1
Deep learning,16,51,102,204,1,400,1
"Feature learning is motivated by the fact that machine learning tasks such as classification often require input that is mathematically and computationally convenient to process. However, real-world data such as images, video, and sensory data has not yielded attempts to algorithmically define specific features. An alternative is to discover such features or representations through examination, without relying on explicit algorithms.",14,32,33,34,1,400,1
Sparse dictionary learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Sparse dictionary learning,16,51,102,204,1,400,1
"Sparse dictionary learning is a feature learning method where a training example is represented as a linear combination of , and is assumed to be a . The method is and difficult to solve approximately. A popular method for sparse dictionary learning is the algorithm. Sparse dictionary learning has been applied in several contexts. In classification, the problem is to determine the class to which a previously unseen training example belongs. For a dictionary where each class has already been built, a new training example is associated with the class that is best sparsely represented by the corresponding dictionary. Sparse dictionary learning has also been applied in . The key idea is that a clean image patch can be sparsely represented by an image dictionary, but the noise cannot.",14,32,33,34,1,400,1
basis functions,16,51,102,204,1,400,1
sparse matrix,16,51,102,204,1,400,1
strongly NP-hard,12.32,51,102,204,1,400,1
heuristic,16,51,102,204,1,400,1
K-SVD,16,51,102,204,1,400,1
image de-noising,12.32,51,102,204,1,400,1
Anomaly detection,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Anomaly detection,16,51,102,204,1,400,1
"In , anomaly detection, also known as outlier detection, is the identification of rare items, events or observations which raise suspicions by differing significantly from the majority of the data. Typically, the anomalous items represent an issue such as , a structural defect, medical problems or errors in a text. Anomalies are referred to as , novelties, noise, deviations and exceptions.",14,32,33,34,1,400,1
data mining,16,51,102,204,1,400,1
bank fraud,16,51,102,204,1,400,1
outliers,16,51,102,204,1,400,1
"In particular, in the context of abuse and network intrusion detection, the interesting objects are often not rare objects, but unexpected bursts of inactivity. This pattern does not adhere to the common statistical definition of an outlier as a rare object. Many outlier detection methods (in particular, unsupervised algorithms) will fail on such data unless aggregated appropriately. Instead, a cluster analysis algorithm may be able to detect the micro-clusters formed by these patterns.",14,32,33,34,1,400,1
"Three broad categories of anomaly detection techniques exist. Unsupervised anomaly detection techniques detect anomalies in an unlabeled test data set under the assumption that the majority of the instances in the data set are normal, by looking for instances that seem to fit the least to the remainder of the data set. Supervised anomaly detection techniques require a data set that has been labeled as ""normal"" and ""abnormal"" and involves training a classifier (the key difference to many other statistical classification problems is the inherently unbalanced nature of outlier detection). Semi-supervised anomaly detection techniques construct a model representing normal behavior from a given normal training data set and then test the likelihood of a test instance to be generated by the model.",14,32,33,34,1,400,1
Robot learning,21,0,0,0,1,400,1
"is inspired by a multitude of machine learning methods, starting from supervised learning, reinforcement learning, and finally (e.g. MAML).",14,32,33,34,1,400,1
Robot learning,16,51,102,204,1,400,1
meta-learning,16,51,102,204,1,400,1
Association rules,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Association rule learning,16,51,102,204,1,400,1
See also:,14,32,33,34,1,400,1
Inductive logic programming,16,51,102,204,1,400,1
"Association rule learning is a method for discovering relationships between variables in large databases. It is intended to identify strong rules discovered in databases using some measure of ""interestingness"".",14,32,33,34,1,400,1
rule-based machine learning,16,51,102,204,1,400,1
